,d_gdp1r_bj,cul_area_bj,d_gdp2r_bj_1,exrate_cn,d_gdp2_indar_bj,pcon_gd_bj,pcon_pud_bj,pcon_prd_bj,pinv_fon_bj,inv_chr_bj,pinv_chd_bj,consn_bj,inv_fir_bj,pinv_fid_bj,con_fn_bj,con_fr_bj,nex_gsr_bj,pnex_gsd_bj,d_investr_bj,d_nex_gsr_bj,d_consn_bj,d_imusd_bj,exusd_ch,d_exusd_bj
1996,0,34.4,0,831.42,0,,,,,,,1061.6,,,1010,,,,0,0,0,0,1510.48,0
1997,0,34.2,0,828.98,0,,,,,,,1208.5,,,1199.1,,,,0,0,0,0,1827.92,0
1998,0,34.1,0,827.91,0,,,,,,,1373.6,,,1307.1,,,,0,0,0,-0.8,1837.12,0
1999,0,33.8,0,827.83,0,,,,,,,1509.3,,,1482.1,,,,0,0,0,0,1949.31,0
2000,0,32.9,0,827.84,0,,,,,,,1658.7,,,1636,,,,0,0,0,0.9,2492.03,0
2001,0.2,29.2,0,827.7,0,,,,,,,1831.4,,,1859.1,,,,0,0,0,0,2660.98,0
2002,0.1,27.5,0,827.7,0,,,,,,,2005.2,,,2232,,,,0,0,0,0,3255.96,0
2003,-0.3,26,0,827.7,0,,,,,,,2296.9,,,2558,,,,0,0,0,0,4382.28,0
2004,0,23.6,0,827.68,0,,,,,,,2626.6,,,3002.7,,,,0,0,0,0,5933.26,0
2005,-0.5,23.3,-0.5,819.17,0,,,,,,,2911.7,,,3401.8,,,,0,0,-1,0,7619.53,0
2006,0,23.3,-0.2,797.18,0,73.96703714,72.97572253,87.18118776,69.24499355,736.0902686,52.38487947,3295.3,5367.600097,71.55711921,4043.6,5259.641815,-528.5305913,-8.041161799,0,0,0,0,9689.78,0
2007,0,23.2,0,760.4,0,80.07943667,79.8041492,83.65590037,71.50092874,819.4834372,54.50994855,3835.2,5931.198107,73.85017194,4976.2,6022.289879,-377.8064932,-71.17400173,0,0,0,0,12200.6,0
2008,0,23.2,-2,694.51,0,82.8456607,82.32504572,89.6952317,85.21800922,880.8981455,83.25593643,4645.5,5154.211155,85.553344,5883.3,7154.480376,321.3365338,113.8059204,-1,2,0,-1,14306.93,0
2009,1,22.7,0,683.1,-1.2,84.85098445,84.10526645,94.7870889,80.12993573,954.1812152,64.44268554,5387.4596,5865.492294,82.68018704,6781.8,8091.717305,-49.63389929,-347.9476778,0,0,0,-0.5,12016.12,0
2010,-0.5,22.4,1,676.95,0,85.28775205,84.27215376,99.51040283,89.64279129,800.8073317,89.572107,6340.3,6557.620385,89.65142315,7824.3,9151.732272,-102.4451021,-20.59639706,0,0,0,0,15777.54,1
2011,0,22.2,0,645.88,0,90.02507346,88.89006181,108.9777559,96.99496906,741.335263,98.44398835,7222.2,6793.694719,96.83832248,9239.2,10240.78841,-39.53564492,-202.6019815,0,0,0,0,18983.81,0
2012,0.5,22.1,0,631.25,0,92.31473414,91.32646622,108.8170565,99.63068805,347.6885437,108.3728546,8123.5,7812.748927,99.2416379,10405,11223.9041,-229.1300095,80.87111785,0,-0.3,0,0,20487.14,0
2013,0.4,22.1,0,619.32,0,96.7176572,95.55334959,113.6647103,100.6623237,247.0227589,112.2163809,8872.1,8484.645334,100.3259378,11877.5,12200.38376,-301.599582,111.7375554,0,-1,0,0,22090.04,0
2014,0,22,0,614.28,0,98.53327484,97.40307683,114.2932711,100.9334412,341.7501226,103.0577538,9638,8739.184694,100.8503689,13086.2,13261.81714,-185.9854057,165.4968566,0,-0.2,0,0,23422.93,-0.5
2015,-3,21.932649,-1,622.84,0,100,100,100,100,334.6,100,10338,9074.6,100,14255.5,14255.5,21,100,0,0.2,0,-0.5,22734.68,-1
2016,-2,21.6,0.2,664.23,0,100.8059273,100.8082307,100.7738934,101.5811083,361.743,98.96528751,11005.1,9555.5538,101.680135,15406.5,15253.385,125.8003303,149.840624,0,0,0,-0.3,20976.31,0
2017,-1.5,21.4,0,675.18,0,103.1795839,103.2119914,102.7288861,104.3249939,583.3907238,97.87608488,11575.4,9909.109291,104.7046682,16842.1,16366.88211,131.6951952,171.9880514,-1,0,0,-0.2,22633.45,0
2018,0,,-0.8,661.74,1,105.5826693,105.6675396,104.4187583,105.4537553,545.5129918,88.88514247,11747.6796,10156.83702,106.343638,18508.9,17627.13203,443.2774584,118.4585388,-3,1,-2,0,24866.82,0
2019,0,,0,689.85,0,,,,,,,12270.1,,,,,,81.58953657,0,0,0,0,24990.3,0
2020,0,,0,,0,,,,,,,,,,,,,,0,0,0,0,,0







