ID,type,y
Eq1,行为,gdp1r_bj
Eq2,定义方程,gdpn_bj
Eq3,定义方程,gdpr_bj
Eq4,定义方程,gdp1n_bj
Eq5,定义方程,gdp2_indan_bj
Eq6,定义方程,gdp2_bindan_bj
Eq7,定义方程,gdp2n_bj
Eq8,定义方程,gdp2r_bj2
Eq9,行为方程,gdp2r_bj1
Eq10,定义方程,gdp2r_bj
Eq11,定义方程,gdp3n_bj
Eq12,行为,gdp2_indar_bj
Eq13,行为,gdp2_bindar_bj
Eq14,行为,gdp3r_bj
Eq15,定义方程,con_fr_bj
Eq16,定义方程,con_gr_bj
Eq17,定义方程,con_pr_bj
Eq18,定义方程,con_fn_bj
Eq19,定义方程,con_pn_bj
Eq20,定义方程,con_pun_bj
Eq21,定义方程,con_prn_bj
Eq22,行为,con_gn_bj
Eq23,定义方程,investn_bj
Eq24,定义方程,inv_fon_bj
Eq25,定义方程,inv_chn_bj
Eq26,定义方程,consr_bj
Eq27,定义方程,inv_for_bj
Eq28,定义方程,inv_fin_bj
Eq29,定义方程,gdper_bj
Eq30,定义方程,gdpen_bj
Eq31,定义方程,nex_gsn_bj
Eq32,行为,con_pur_bj
Eq33,行为,con_prr_bj
Eq34,行为,investr_bj
Eq35,行为,inv_fir_bj
Eq36,行为,nex_gsr_bj
Eq37,行为,consn_bj
Eq38,行为,exusd_bj
Eq39,行为,imusd_bj
Eq40,定义方程,yht_n_bj
Eq41,定义方程,yh_un_bj
Eq42,定义方程,yh_rn_bj
Eq43,定义方程,yhn_bj
Eq44,定义方程,conet_un_bj
Eq45,定义方程,conet_rn_bj
Eq46,行为,yht_un_bj
Eq47,行为,yht_rn_bj
Eq48,行为,cone_un_bj
Eq49,行为,cone_rn_bj
Eq50,行为,frn_bj
Eq51,行为,taxn_bj1
Eq52,行为,taxn_bj2
Eq53,定义方程,taxn_bj
Eq54,行为,tax_vadn_bj
Eq55,行为,tax_cinn_bj
Eq56,行为,tax_pinn_bj
Eq57,行为,fen_bj1
Eq58,行为,fen_bj2
Eq59,定义方程,fen_bj
Eq60,行为,depn_bj
Eq61,行为,dep_san_bj
Eq62,行为,loan_ln_bj
Eq63,行为,loann_bj
Eq64,定义方程,emp1_bj
Eq65,定义方程,popr_bj
Eq66,行为,totemp_bj
Eq67,行为,emp2_bj
Eq68,行为,emp3_bj
Eq69,行为,totpop_bj
Eq70,行为,popu_bj
Eq71,行为,rpi_bj
Eq72,行为,cpi_bj
Eq73,行为,gdp1d_bj
Eq74,行为,gdp2d_bj
Eq75,行为,gdp3d_bj
Eq76,行为,gdpd_bj
Eq77,行为,ppi_bj
Eq78,行为,faipi_bj
Eq79,定义方程,gdp3_tspar_bj
Eq80,行为,gdp3_tspan_bj
Eq81,定义方程,gdp3_wrar_bj
Eq82,行为,gdp3_wran_bj
Eq83,定义方程,gdp3_fiar_bj
Eq84,行为,gdp3_fian_bj
Eq85,定义方程,gdp3_rear_bj
Eq86,行为,gdp3_rean_bj
Eq87,定义方程,gdp3_infr_bj
Eq88,行为,gdp3_infn_bj
Eq89,定义方程,gdp3_renr_bj
Eq90,行为,gdp3_renn_bj
Eq91,定义方程,gdp3_sicr_bj
Eq92,行为,gdp3_sicn_bj
Eq93,行为,gdp_tran_bj
Eq94,行为,gdp_tecn_bj
Eq95,行为,tta_f_bj
Eq96,行为,gdp_mosn_bj
Eq97,行为,gdp_momn_bj
Eq98,行为,gdp_infn_bj
Eq99,行为,tta_bj
Eq100,行为,gdp1r_tj
Eq101,定义方程,gdpn_tj
Eq102,定义方程,gdpr_tj
Eq103,定义方程,gdp1n_tj
Eq104,定义方程,gdp2_indan_tj
Eq105,定义方程,gdp2_bindan_tj
Eq106,定义方程,gdp2n_tj
Eq107,定义方程,gdp2r_tj2
Eq108,行为,gdp2r_tj1
Eq109,定义方程,gdp2r_tj
Eq110,定义方程,gdp3n_tj
Eq111,行为,gdp2_indar_tj
Eq112,行为,gdp2_bindar_tj
Eq113,行为,gdp3r_tj
Eq114,定义方程,con_fr_tj
Eq115,定义方程,con_gr_tj
Eq116,定义方程,con_pr_tj
Eq117,定义方程,con_fn_tj
Eq118,定义方程,con_pn_tj
Eq119,定义方程,con_pun_tj
Eq120,定义方程,con_prn_tj
Eq121,行为,con_gn_tj
Eq122,定义方程,investn_tj
Eq123,定义方程,inv_fon_tj
Eq124,定义方程,inv_chn_tj
Eq125,定义方程,consr_tj
Eq126,定义方程,inv_for_tj
Eq127,定义方程,inv_fin_tj
Eq128,定义方程,gdper_tj
Eq129,定义方程,gdpen_tj
Eq130,定义方程,nex_gsn_tj
Eq131,行为,con_pur_tj
Eq132,行为,con_prr_tj
Eq133,行为,investr_tj
Eq134,行为,inv_fir_tj
Eq135,行为,nex_gsr_tj
Eq136,行为,consn_tj
Eq137,行为,exusd_tj
Eq138,行为,imusd_tj
Eq139,定义方程,yht_n_tj
Eq140,定义方程,yh_un_tj
Eq141,定义方程,yh_rn_tj
Eq142,定义方程,yhn_tj
Eq143,定义方程,conet_un_tj
Eq144,定义方程,conet_rn_tj
Eq145,行为,yht_un_tj
Eq146,行为,yht_rn_tj
Eq147,行为,cone_un_tj
Eq148,行为,cone_rn_tj
Eq149,行为,frn_tj
Eq150,行为,taxn_tj1
Eq151,行为,taxn_tj2
Eq152,定义方程,taxn_tj
Eq153,行为,tax_vadn_tj
Eq154,行为,tax_cinn_tj
Eq155,行为,tax_pinn_tj
Eq156,行为,fen_tj1
Eq157,行为,fen_tj2
Eq158,定义方程,fen_tj
Eq159,行为,depn_tj
Eq160,行为,dep_san_tj
Eq161,行为,loan_ln_tj
Eq162,行为,loann_tj
Eq163,定义方程,emp1_tj
Eq164,定义方程,popr_tj
Eq165,行为,totemp_tj
Eq166,行为,emp2_tj
Eq167,行为,emp3_tj
Eq168,行为,totpop_tj
Eq169,行为,popu_tj
Eq170,行为,rpi_tj
Eq171,行为,cpi_tj
Eq172,行为,gdp1d_tj
Eq173,行为,gdp2d_tj
Eq174,行为,gdp3d_tj
Eq175,行为,gdpd_tj
Eq176,行为,ppi_tj
Eq177,行为,faipi_tj
Eq178,定义方程,gdp3_tspar_tj
Eq179,行为,gdp3_tspan_tj
Eq180,定义方程,gdp3_wrar_tj
Eq181,行为,gdp3_wran_tj
Eq182,定义方程,gdp3_fiar_tj
Eq183,行为,gdp3_fian_tj
Eq184,定义方程,gdp3_rear_tj
Eq185,行为,gdp3_rean_tj
Eq186,定义方程,gdp3_infr_tj
Eq187,行为,gdp3_infn_tj
Eq188,定义方程,gdp3_renr_tj
Eq189,行为,gdp3_renn_tj
Eq190,定义方程,gdp3_sicr_tj
Eq191,行为,gdp3_sicn_tj
Eq192,行为,gdp2_tecn_tj1
Eq193,行为,gdp2_tecn_tj2
Eq194,定义方程,gdp2_tecn_tj
Eq195,行为,gdp2_medn_tj
Eq196,行为,tta_tj
Eq197,行为,gdp2_airn_tj
Eq198,行为,gdp2_caln_tj
Eq199,行为,gdp2_mecn_tj
Eq200,行为,gdp2_emin_tj
Eq201,行为,gdp2_tran_tj
Eq202,行为,gdp3_infwn_tj
Eq203,行为,gdp2_hemin_tj
Eq204,行为,gdp2_nmin_tj
Eq205,行为,gdp2_birn_tj
Eq206,行为,gdp2_necin_tj
Eq207,行为,gdp2_nein_tj
Eq208,行为,gdp2_epin_tj
Eq209,行为,gdp1r_hb
Eq210,定义方程,gdpn_hb
Eq211,定义方程,gdpr_hb
Eq212,定义方程,gdp1n_hb
Eq213,定义方程,gdp2_indan_hb
Eq214,定义方程,gdp2_bindan_hb
Eq215,定义方程,gdp2n_hb
Eq216,定义方程,gdp2r_hb2
Eq217,行为,gdp2r_hb1
Eq218,定义方程,gdp2r_hb
Eq219,定义方程,gdp3n_hb
Eq220,行为,gdp2_indar_hb
Eq221,行为,gdp2_bindar_hb
Eq222,行为,gdp3r_hb
Eq223,定义方程,investn_hb
Eq224,定义方程,consr_hb
Eq225,定义方程,gdper_hb
Eq226,定义方程,gdpen_hb
Eq227,行为,con_fn_hb
Eq228,行为,investr_hb
Eq229,行为,consn_hb
Eq230,行为,exusd_hb
Eq231,行为,imusd_hb
Eq232,定义方程,yht_n_hb
Eq233,定义方程,yh_un_hb
Eq234,定义方程,yh_rn_hb
Eq235,定义方程,yhn_hb
Eq236,定义方程,conet_un_hb
Eq237,定义方程,conet_rn_hb
Eq238,行为,yht_un_hb
Eq239,行为,yht_rn_hb
Eq240,行为,cone_un_hb
Eq241,行为,cone_rn_hb
Eq242,行为,frn_hb
Eq243,行为,taxn_hb1
Eq244,行为,taxn_hb2
Eq245,定义方程,taxn_hb
Eq246,行为,tax_vadn_hb
Eq247,行为,tax_cinn_hb
Eq248,行为,tax_pinn_hb
Eq249,行为,fen_hb1
Eq250,行为,fen_hb2
Eq251,定义方程,fen_hb
Eq252,行为,depn_hb
Eq253,行为,dep_san_hb
Eq254,行为,loan_ln_hb
Eq255,行为,loann_hb
Eq256,定义方程,emp1_hb
Eq257,定义方程,popr_hb
Eq258,行为,totemp_hb
Eq259,行为,emp2_hb
Eq260,行为,emp3_hb
Eq261,行为,totpop_hb
Eq262,行为,popu_hb
Eq263,行为,rpi_hb
Eq264,行为,cpi_hb
Eq265,行为,gdp1d_hb
Eq266,行为,gdp2d_hb
Eq267,行为,gdp3d_hb
Eq268,行为,gdpd_hb
Eq269,行为,ppi_hb
Eq270,行为,faipi_hb
Eq271,行为,gdp3_tspan_hb
Eq272,行为,gdp3_wran_hb
Eq273,行为,gdp3_fian_hb
Eq274,行为,gdp3_rean_hb
Eq275,行为,gdp3_infn_hb
Eq276,行为,gdp3_renn_hb
Eq277,行为,gdp3_sicn_hb
Eq278,行为,gdp2_tecn_hb1
Eq279,行为,gdp2_tecn_hb2
Eq280,定义方程,gdp2_tecn_hb
Eq281,行为,tta_hb
Eq282,定义方程,gdp2_tecr_hb
Eq283,行为,gdp2_emin_hb
Eq284,定义方程,gdp2_emir_hb
